default,Identifier,Remarks,Filter,eng enc ena enz eni ens enj enb enl ent enw,cs,da,de,el,eo,es,esm esn esg esc esa esd esv eso esr ess esf esl esy esz esb ese esh esi esu,fi,fr,hu,it,jp,ko,nl,no nb,pl,pt,ptg,ro,ru,sr
,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,
"Are you sure you want to end the game?
",ENDGAME,,,,"Opravdu si přeješ ukončit hru?
","Er du sikker på, at du vil forlade
dette spil?","Willst du das Spiel wirklich beenden?
",,"Ĉu vi certas, ke vi volas fini la ludon?
","¿Estás segur@[ao_esp] que deseas cerrar la partida?
",,"Haluatko varmasti päättää pelin?
","Voulez vous mettre fin à votre partie?
","Biztos be akarod fejezni a játékot?
","Sei sicuro di voler terminare la partita?
","本当にゲームを中断するのか?
","게임을 정말로 종료하시겠습니까?
","Weet je zeker dat je het spel wilt beëindigen?
","Er du sikker på at du vil avslutte spillet?
","Czy jesteś pewien że chcesz zakończyć grę?
",Deseja mesmo encerrar o jogo?,"Tem certeza que deseja fechar este jogo?
",Ești sigur că vrei să închei jocul?,"Вы действительно хотите закончить игру?
","Јесте ли сигурни да желите завршити игру?
"
,,Menus,,,,,,,,,,,,,,,,,,,,,,,
New Game,MNU_NEWGAME,,,,Nová hra,Nyt spil,Neues Spiel,,Nova ludado,Nueva partida,,Uusi peli,Nouvelle Partie,Új játék,Nuovo gioco,新規ゲーム,새로운 게임,Nieuw spel,Nytt spill,Nowa Gra,Novo jogo,,Joc Nou,Новая игра,Нова игра
Options,MNU_OPTIONS,,,,Možnosti,Indstillinger,Optionen,,Agordoj,Opciones,,Asetukset,Options,Beállítások,Opzioni,オプション,설정,Opties,Alternativer,Opcje,Opções,,Opțiuni,Настройки,Подешавања
Quit,MNU_QUITGAME,,,,Ukončit hru,Afslut spil,Spiel verlassen,,Mallanĉi ludon,Salir del juego,,Lopeta peli,Quitter le jeu,Kilépés,Esci dal gioco,終了,게임 종료,Verlaat spel,Avslutt,Wyjdź,Sair,,Ieșire,Выход,Заврши игру
Help,MNU_HELP,,,,Nápověda,Hjælp,Hilfe,,Helpo,Ayuda,,Ohje,Aide,Segítség,Guida,,,,Hjelp,Pomoc,Ajuda,,Ajutor,Помощь,
Credits,MNU_CREDITS,,,,Autoři,,,,Kreditoj,Créditos,,Tekijät,Crédits,Stáblista,Riconoscimenti,,,,,Twórcy,Créditos,,Autori,Создатели,
How to Order,MNU_HOWTOORDER,,,,Jak objednat,Sådan bestiller du,Bestellen,,Kiel mendi,Cómo comprar,,Tilausohje,Comment Acheter,Megrendelés,Come Ordinarlo,,,Hoe te bestellen,Hvordan bestille,Jak Zamówić,Como comprar,,Cum Comanzi,Как приобрести,
End Game,MNU_ENDGAME,,,,Ukončit hru,Slutspil,Spiel beenden,,Fini Ludon,Salir del juego,,Lopeta peli,Finir Partie,Befejezés,Fine del gioco,,,Einde Spel,Sluttspill,Zakończ Grę,Encerrar jogo,,Încheie Jocul,Конец игры,
User Map,MNU_USERMAP,,,,Uživatelská mapa,Brugerkort,Benutzerlevel,,Mapo de uzanto,Mapa de usuario,,Omat tasot,Maps Perso.,Egyéni map,Mappa dell'utente,,,Gebruikerskaart,Brukerkart,Mapa Użytkownika,Mapa de usuário,,Hărți de Utilizatori,Карта пользователя,
Select an Episode,MNU_SELECTEPISODE,DN3D et.al.,,,Vyber epizodu,Vælg en episode,"Welche Episode?
",,Elektu epizodon,Selecciona un episodio,,Valitse episodi,Choisir un épisode,Epizód kiválasztása,Seleziona un episodio,,,Selecteer een aflevering,Velg en episode,Wybierz Epizod,Selecione um episódio,,Alege un Episod,Выбор эпизода,
Episodes,MNU_EPISODES,Blood,,,Epizody,Episoder,Episoden,,Epizodoj,Episodios,,Episodit,Episodes,Epizódok,Episodi,,,Afleveringen,Episoder,Epizody,Episódios,,Episoade,Эпизоды,
Select Skill,MNU_SELECTSKILL,DN3D et.al.,,,Vyber obtížnost,Vælg færdighed,Schwierigkeitsgrad,,Elektu malfacilecon,Selecciona dificultad,,Valitse vaikeustaso,Choisir difficulté,Erősség kiválasztása,Seleziona la difficoltà,,,Selecteer vaardigheid,Velg ferdighet,Wybierz Poziom Trudności,Escolha a dificuldade,,Alege Dificultatea,Выбор сложности,
Difficulty,MNU_DIFFICULTY,Blood,,,Obtížnost,Sværhedsgrad,Schwierigkeitsgrad,,Malfacileco,Dificultad,,Vaikeustaso,Difficulté,Erősség,Difficoltà,,,Moeilijkheid,Vanskelighetsgrad,Poziom Trudności,Dificuldade,,Dificultate,Сложность,
Engine Credits,MNU_ENGINECREDITS,,,,Autoři enginu,Motor kreditter,,,Kreditoj de modulo,Créditos del motor,,Moottorin tekijäluettelo,Crédits Moteur de Jeu,Motor stáblista,Riconoscimento Engine,,,,Engine Kreditter,Twórcy Silnika,Créditos da engine,,Autori Motor,Создатели движка,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rotate mode ON,TXT_ROTATE_ON,,,,Režim rotace zap.,Rotationstilstand TIL,Rotiermodus an,,Turnoreĝimo ŜALTITA,Modo rotación ACTIVADO,,Kääntötila päällä,Mode Rotation ON,Forgató mód BE,Modalità di rotazione attivata,,,Rotatiemodus AAN,Rotasjonsmodus PÅ,Tryb obracania włączony,Modo de rotação ativado,,Modul Rotativ PORNIT,Вращение ВКЛЮЧЕНО,
Rotate mode OFF,TXT_ROTATE_OFF,,,,Režim rotace vyp.,Rotationstilstand FRA,Rotiermodus aus,,Turnoreĝimo MALŜALTITA,Modo rotación DESACTIVADO,,Kääntötila pois päältä,Mode Rotation OFF,Forgató mód KI,Modalità di rotazione disattivata,,,Rotatiemodus UIT,Rotasjonsmodus AV,Tryb obracania wyłączony,Modo de rotação desativado,,Modul Rotativ OPRIT,Вращение ОТКЛЮЧЕНО,
,,Controls submenu,,,,,,,,,,,,,,,,,,,,,,,
Default,CTRL_DEFAULT,,,,Standardní,Standard,Standard,,Defaŭlta,Por defecto,,Oletus,Défaut,Alapbeállítás,Predefinito,,,Standaard,Standard,Domyślne,Padrão,,Implicit,По умолчанию,
Classic,CTRL_CLASSIC,,,,Klasický,Klassisk,"Klassisch
",,Klasika,Clásico,,Alkuperäinen,Classique,Klasszikus,Classico,,,Klassiek,Klassisk,Klasyczne,Clássico,,Clasic,Классика,
Left-handed,CTRL_LEFTHANDED,,,,Pro leváky,Venstrehåndet,Linkshändig,,Maldekstramana,Zurdo,,Vasenkätinen,Mode Gaucher,Balkezes,Mancino,,,Linkshandig,Venstrehendt,Leworęczne,Canhoto,,Stângaci,Модель оружия для левши,
Control presets,CTRL_PRESET,,,,Přednastavení ovládání,Forudindstillinger for kontrol,Voreinstellungen,,,Preajustes de Control,,Ohjausesivalinnat,Sets de commandes par défaut,Kontrol sémák,Schema di controllo,,,Besturingsvoorinstellingen,Forhåndsinnstillinger for kontroll,Ustawienia sterowania,Predefinições de controle,,Configurații prestabilite,Наборы управления,
Mouse look toggle,CNTRLMNU_MLOOKTOGGLE,,,,Přepnout rozhlížení myší,Skift mellem muselook,Maus-Blick umschalten,,,Alternar mirar con ratón,,Hiirikatselun vaihtokytkin,Activer/désactiver visée souris,Egér nézet,Modalità vista col mouse,,,Muis look toggle,Veksling av musens utseende,Przełączenie patrzenia myszką,Ativar/desativar visão com mouse,,Comutator privire în jur cu mouse,Обзор мышью (перекл.),
